id;name;city;country;description;history;website;founded_year;content_language;translation_group;created_at;updated_at;
13;Drama Theatre Kyustendil;Kyustendil;Bulgaria;A prominent regional theatre known for its innovative productions and commitment to Bulgarian dramatic arts.;Founded in the mid-20th century, the theatre has been a cultural cornerstone of Kyustendil, presenting both classical and contemporary works while nurturing local talent. Over the decades, it has maintained its reputation for artistic excellence and community engagement.;;1952;en;;57:33.6;57:33.6;
14;Ivan Vazov National Theatre;Sofia;Bulgaria;Bulgaria's oldest and most prestigious theatre, serving as the national stage for dramatic arts.;Established in 1904, the Ivan Vazov National Theatre is named after Bulgaria's national poet Ivan Vazov. It has been the premier venue for Bulgarian theatre, hosting legendary performances and international collaborations. The theatre building itself is an architectural masterpiece and a symbol of Bulgarian cultural identity. Throughout its history, it has been home to the most celebrated Bulgarian actors and directors.;;1904;en;;57:35.4;57:35.4;
15;Macedonian National Theatre;Skopje;North Macedonia;The leading theatrical institution of North Macedonia, showcasing the rich cultural heritage of the region.;Established in 1947 as the premier theatre of North Macedonia, it has been instrumental in developing and preserving Macedonian theatrical traditions while embracing international collaborations. The theatre has been a symbol of Macedonian cultural identity and artistic achievement.;;1947;en;;57:37.4;57:37.4;
16;National Theatre in Ni??;Ni??;Serbia;A prominent Serbian theatre known for its diverse repertoire and significant contribution to the cultural life of Ni??.;Founded in 1887, the National Theatre in Ni?? has a rich history of theatrical excellence, presenting a wide range of plays from classical to contemporary. It has been a vital cultural institution for the city and the region, fostering artistic talent and engaging with the community.;;1887;en;;57:39.1;57:39.1;
17;"CAACO ""36 Monkeys""";Sofia;Bulgaria;An innovative independent theatre collective known for experimental and contemporary performances.;Contemporary Alternative Art and Culture Organization '36 Monkeys' is a dynamic theatre group that has been pushing the boundaries of contemporary theatre in Sofia. Known for their creative approach to storytelling and experimental performances, they have gained recognition for bringing fresh perspectives to the Bulgarian theatre scene.;;2010;en;;57:41.0;57:41.0;
18;Intimate Theatre Bitola;Bitola;North Macedonia;A cozy intimate theatre space dedicated to bringing audiences closer to the art of performance.;The Intimate Theater Bitola has been a cultural gem in the historic city of Bitola, providing an intimate setting for both local and international productions. The theatre focuses on creating meaningful connections between performers and audiences through its close-knit performance space.;;1995;en;;57:42.8;57:42.8;
19;?????????? ?????? ?????????;?????????;????????;???????? ?????????? ??????, ?????? ??? ?????? ?????????? ????????? ? ?????????? ?? ??????????? ?????????? ????????.;??????? ? ??????? ?? 20-?? ???, ???????? ? ???????? ?????????? ????? ?? ?????????, ???????????? ????? ??????????, ???? ? ?????????? ????????????, ???? ???????????? ????????? ???????? ???????. ???? ????????????? ??? ? ??????? ??????????? ?? ?? ?????????? ????????????? ? ???????????? ? ?????????.;;1952;bg;;57:33.6;57:33.6;
20;??????? ?????? �???? ?????�;?????;????????;???-??????? ? ???-????????? ?????? ? ????????, ?????? ???? ?????????? ????? ?? ?????????? ????????.;???????? ???? 1904 ?., ????????? ?????? �???? ?????� ? ??????? ?? ??????????? ???? ?? ???????? ???? ?????. ??? ? ???????? ????? ?? ????????? ??????, ??????? ?? ?????????? ????????????? ? ???????????? ??????????????. ?????? ?????? ?? ??????? ? ???????????? ???????? ? ?????? ?? ??????????? ???????? ???????????. ???? ?????? ?? ??????? ??? ? ??? ??? ?? ???-?????????? ????????? ??????? ? ?????????.;;1904;bg;;57:35.4;57:35.4;
21;?????????? ??????? ??????;??????;??????? ?????????;???????? ????????? ?????????? ?? ??????? ?????????, ??????????? ???????? ???????? ?????????? ?? ???????.;???????? ???? 1947 ?. ???? ????? ?????? ?? ??????? ?????????, ??? ????? ????? ???? ? ?????????? ? ??????????? ?? ???????????? ????????? ????????, ???? ???????????? ?????? ???????????? ??????????????. ???????? ? ?????? ?? ???????????? ???????? ??????????? ? ???????????? ??????????.;;1947;bg;;57:37.4;57:37.4;
22;??????? ?????? ? ???;???;??????;????? ??????? ??????, ???????? ? ????????????? ?? ????????? ? ??????????? ?? ?????? ??? ????????? ????? ?? ???.;??????? ???? 1887 ?., ????????? ?????? ? ??? ??? ?????? ??????? ?? ????????? ?????????????, ???????????? ????? ??????? ?? ????? ?? ?????????? ?? ??????????. ??? ? ???????????? ???????? ?????????? ?? ????? ? ???????, ??????????? ???????????? ??????? ? ?????????? ?????????.;;1887;bg;;57:39.1;57:39.1;
